Explore our Brands,สำรวจแบรนด์ของเรา
Contact Us,ติดต่อเรา
Returns Policy ,นโยบายการคืนสินค้า
Shipping Information,ข้อมูลการจัดส่ง
FAQ,คำถามที่ถามบ่อย
Order Tracking,การติดตามการสั่งซื้อ
Find A Store,ค้นหาร้าน
Clothing,เสื้อผ้า
Accessories,สินค้าเบ็ดเตล็ด
Sale,สินค้าลดราคา
SIGN UP FOR OUR NEWSLETTER,ลงชื่อสมัครรับจดหมายข่าวของเรา
Sign up for our newsletter to receive special offers and exclusive news about Onitsuka Tiger products.,ลงทะเบียนเพื่อรับจดหมายข่าวของเราเพื่อรับข้อเสนอพิเศษและข่าวพิเศษเกี่ยวกับผลิตภัณฑ์ Onitsuka Tiger
"Be the first to new products, exclusive events and online offers.",เป็นคนแรกที่ได้สัมผัสผลิตภัณฑ์ใหม่ กิจกรรมพิเศษ และข้อเสนอออนไลน์
To subscribe maillist Valid Email address is needed.,คุณต้องกรอกที่อยู่อีเมลที่ถูกต้องเพื่อสมัครสมาชิกกลุ่มรายชื่อเมล
Subscribe,สมัครสมาชิก
CONNECT WITH US,เชื่อมต่อกับเรา
CHANGE LOCATION,เปลี่ยนภูมิภาค
Site Map,แผนที่เว็บไซต์
Cookie Policy,นโยบายเกี่ยวกับคุกกี้
Privacy Policy,นโยบายความเป็นส่วนตัว
Terms & Conditions,ข้อกำหนดและเงื่อนไข
Disclaimer,คำจำกัดสิทธิ์ความรับผิดชอบ
2018 Onitsuka Tiger. All Rights Reserved.,2018 Onitsuka Tiger สงวนลิขสิทธิ์
Invalid UserName,ชื่อผู้ใช้ไม่ถูกต้อง
Password Required,ต้องมีรหัสผ่าน
Invalid entry,รายการไม่ถูกต้อง
Not registered? Create your ASICS ID,ยังไม่ได้ลงทะเบียนใช่ไหม สร้าง ASICS ID ของคุณ
The password you have entered is invalid. Please try again.,รหัสผ่านที่คุณกรอกไม่ถูกต้อง โปรดลองอีกครั้ง
Forgot Your Password?,ลืมรหัสผ่านของคุณใช่ไหม
We require everyone to use the name that they use in everyday life – what their friends call them – on Facebook. Learn more about our name policies.,เรากำหนดให้ทุกคนใช้ชื่อที่ใช้ในชีวิตประจำวัน เช่น ชื่อที่เพื่อนๆ เรียกบน Facebook เรียนรู้เพิ่มเติมเกี่ยวกับนโยบายเกี่ยวกับชื่อของเรา
What's your name?,ชื่อของคุณ
You'll use this when you log in and if you ever need to reset your password.,คุณจะใช้ชื่อนี้เมื่อเข้าสู่ระบบและในกรณีที่คุณต้องการรีเซ็ตรหัสผ่าน
"Enter a combination of at least six numbers, letters and punctuation marks (like ! and &).",กรอกตัวเลข ตัวอักษร และเครื่องหมายวรรคตอน (เช่น ! และ &) รวมกันอย่างน้อยหกตัว
Your password  must be at least 6 characters long. Please try another.,รหัสผ่านของคุณต้องมีความยาวอักขระอย่างน้อย 6 ตัว โปรดลองรหัสผ่านอื่น
Select your date of birth. You can change who can see this later.,เลือกวันเกิดของคุณ คุณสามารถเปลี่ยนผู้ที่สามารถเห็นได้ในภายหลัง
It looks like you've entered the wrong info. Please make sure that you use your real date of birth.,ดูเหมือนว่าคุณกรอกข้อมูลผิด โปรดตรวจสอบว่าคุณใช้วันเกิดที่แท้จริง
The password you have entered is invalid. Please try again.,รหัสผ่านที่คุณกรอกไม่ถูกต้อง โปรดลองอีกครั้ง
PLEASE MAKE SURE…,โปรดตรวจสอบ…
Invalid UserName,ชื่อผู้ใช้ไม่ถูกต้อง
Confirm Password Must Match,รหัสผ่านยืนยันต้องตรงกัน
Ok,ตกลง
Required Fields,กรุณากรอกข้อมูลให้ครบถ้วน
ASICS requires this information so that we may provide our services to you and communicate with you. We will handle your personal data in accordance with our privacy policy.,ASICS ต้องการข้อมูลนี้เพื่อการส่งมอบบริการของเราให้กับคุณ และเพื่อสื่อสารกับคุณ เราจะจัดการกับข้อมูลส่วนบุคคลของคุณโดยให้สอดคล้องกับนโยบายความเป็นส่วนตัวของเรา
By registering I accept the terms & conditions of ASICS ,เมื่อลงทะเบียนเสร็จสิ้น แสดงว่าฉันยอมรับในข้อกำหนดและเงื่อนไขของ ASICS
I would like to receive news and promotions from ASICS by email tailored to my preferences and interests ,ฉันประสงค์ที่จะรับข่าวสารและโปรโมชั่นจาก ASICS ผ่านทางอีเมลที่กำหนดตามความชอบและความสนใจของฉัน
Email,อีเมล
Mobile No,หมายเลขมือถือ
Password,รหัสผ่าน
First Name,ชื่อ
Last Name,นามสกุล
Birthday,วันเกิด
Gender,เพศ
Male,ชาย
Female,หญิง
The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later,The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later
Please enter a valid email address (Ex: johndoe@domain.com),กรุณากรอกอีเมล์แอดเดรส (เช่น johndoe@domain.com)
Create an Account,สร้างบัญชีทันที
Create New Customer Account,สร้างบัญชีผู้ใช้งานใหม่
Confirm Password,ยืนยันรหัสผ่าน
"I would like to receive newsletters and information about products, services and events by email, tailored to my interests and preferences as described in the Privacy Policy.",ฉันต้องการรับจดหมายข่าวและข้อมูลสินค้า บริการ และงานกิจกรรมทางอีเมลโดยปรับให้ตรงกับความสนใจของฉันตามที่ระบุไว้ในนโยบายความเป็นส่วนตัว
Minimum length of this field must be equal or greater than 8 symbols. Leading and trailing spaces will be ignored.,ข้อมูลในช่องนี้จะต้องประกอบด้วยอักษรอย่างน้อย 8 ตัว ระบบจะไม่นับช่องว่างด้านหน้าสุดและด้านหลังสุด
"Minimum of different classes of characters in password is 3. Classes of characters: Lower Case, Upper Case, Digits, Special Characters.","ข้อมูลในช่องนี้จะต้องเป็นไปตามเงื่อนไขที่ระบุด้านล่างนี้อย่างน้อย 3 ประการ
เงื่อนไข: มีอักษรตัวพิมพ์เล็ก, มีอักษรตัวพิมพ์ใหญ่, มีตัวเลข, มีอักษรพิเศษอื่น ๆ"
Password Strength: Weak,ระดับความปลอดภัยของรหัสผ่าน: ต่ำ
Password Strength: Strong,ระดับความปลอดภัยของรหัสผ่าน: สูง
Please enter the same value again.,กรุณากรอกข้อมูลเดิมอีกครั้ง
"There is already an account with this email address. If you are sure that it is your email address, <a href='%1'>click here</a> to get your password and access your account.","ระบบมีผู้ใช้งานที่ลงทะเบียนด้วยอีเมล์แอดเดรสนี้แล้ว หากท่านมั่นใจว่านี่คืออีเมล์แอดเดรสของท่าน กรุณา<a href='%1'>คลิกที่นี่</a>เพื่อรับรหัสสำหรับเข้าสู่บัญชีของท่าน"
Faster checkout,ชำระเงินเร็วขึ้น
Fuss-free returns,ผลตอบแทนที่ไม่ยุ่งยาก
Order history tracking,ติดตามประวัติการสั่งซื้อ
Registered Customers,Registered Customers
"If you have an account, sign in with your email address.","หากคุณมีบัญชีผู้ใช้งาน กรุณาลงชื่อเข้าใช้งานด้วยอีเมลแอดเดรสของคุณ"
Sign Up for Newsletter,ลงทะเบียนเพื่อรับจดหมายข่าว
Sign-in Information,ข้อมูลในการลงทะเบียนเข้าใช้งาน
You are signed out,"คุณได้ล๊อคเอ้าท์แล้ว"
You have signed out and will go to our homepage in 5 seconds.,"คุณได้ล๊อคเอ้าท์แล้ว ระบบจะนำคุณกลับไปยังหน้าแรกภายใน 5 วินาที"
Category,หมวดหมู่
Filter By,กรองตาม
Sort By,เรียงตาม
New to old,ใหม่ไปเก่า
Price Low to High,ราคาจากต่ำไปสูง
Price High to Low,ราคาจากสูงไปต่ำ
Popularity,ความนิยม
Relevance,ความเกี่ยวข้อง
STYLE,หมายเลขแบบ
style:,หมายเลขแบบ
Style #:,หมายเลขแบบ
COLORS,สี
WIDTH,ความกว้าง
SIZE,ขนาด
QTY,"จำนวน"
"QTY:","จำนวน"
PRICE,ราคา
Availability:In Stock,ความพร้อมจำหน่าย: มีสินค้าในสต็อก
Availability:In stock,ความพร้อมจำหน่าย: มีสินค้าในสต็อก
Add to Cart,เพิ่มลงในรถเข็น
Size guide,คู่มือขนาด
View Full Details,ดูรายละเอียดทั้งหมด
Free Shipping & Free Returns (Details),การจัดส่งฟรีและการคืนสินค้าฟรี (รายละเอียด)
Need Help?,"ต้องการความช่วยเหลือ?"
Details & Features,รายละเอียดและคุณสมบัติ
Product Details,รายละเอียดผลิตภัณฑ์
All mentioned sizes here are in (US),ทุกขนาดที่กล่าวถึงที่นี่อยู่ใน (US)
Added To Cart,เพิ่มลงในรถเข็น
Order Subtotal,ยอดรวมการสั่งซื้อ
CHECKOUT,ชำระเงิน
View Cart,ดูรถเข็น
Quick View,ดูแบบด่วน
Shopping Cart,รถเข็นช้อปปิ้ง
Product,ผลิตภัณฑ์
Price,ราคา
Qty,"จำนวน"
"Qty:","จำนวน"
Total,รวมทั้งสิ้น
View details,ดูรายละเอียด
RETURN POLICY,นโยบายการคืนสินค้า
Return Policy,นโยบายการคืนสินค้า
14 days free return,คืนสินค้าฟรีใน 14 วัน
Find out more,ค้นหาเพิ่มเติม
Please read the Disclaimer here,โปรดอ่านคำจำกัดสิทธิ์ความรับผิดชอบที่นี่
Order Summary,สรุปการสั่งซื้อ
Have A Promo Code?,มีรหัสโปรโมชั่นไหม
Subtotal (Inclusive of GST),รวม (รวม GST)
Order Discount,ส่วนลดการสั่งซื้อ
Shipping,ค่าจัดส่ง
Total,รวมทั้งสิ้น
Apply,ใช้
Proceed to Checkout,ไปที่จุดชำระเงิน
Select a payment method,เลือกวิธีการชำระเงิน
Card,บัตร
Netbanking,Netbanking
Wallet,Wallet
UPI,UPI
Phone,โทรศัพท์
Email,อีเมล
Select a card to proceed,เลือกบัตรเพื่อดำเนินการต่อ
Use a new card,ใช้บัตรใบใหม่
Manage your cards,แก้ไขข้อมูลบัตรของท่าน
Card number,หมายเลขบัตร
Name on card,ชื่อผู้ถือบัตร
Expiry date,หมดอายุ
Security code,รหัสความปลอดภัย
Remember this card,บันทึกข้อมูลบัตรใบนี้
CVV,CVV
PAY,ชำระ
Invoice,ใบกำกับสินค้า
Please enter a valid Promo code to avail the discount offer.,โปรดกรอกรหัสโปรโมชั่นที่ถูกต้องเพื่อใช้ประโยชน์จากข้อเสนอส่วนลด
Invalid UserName,ชื่อผู้ใช้ไม่ถูกต้อง
Invalid Credentials,ข้อมูลประจำตัวไม่ถูกต้อง
Your Email ID and password combination did not match.,ID อีเมลและรหัสผ่านของคุณไม่ตรงกัน
Update Shopping Cart,Update Shopping Cart
Subtotal (Exclusive of GST),รวม (ไม่รวม GST)
Have an ASICS ID? login here,ได้เข้าสู่ระบบ ASICS ID ที่นี่แล้วใช่ไหม
Email address,ที่อยู่อีเมล
Password,รหัสผ่าน
Remember Me,จดจำฉัน
Forgot your password? Click Here,ลืมรหัสผ่านของคุณใช่ไหม คลิกที่นี่
SIGN IN,ลงชื่อเข้าใช้
Do you want to login with different user ?,ท่านต้องการใช้ชื่ออื่นในการลงชื่อเข้าใช้งานหรือไม่
Continue as existing user,ทำรายการโดยใช้ชื่อผู้ใช้งานเดิม
don't have an asics id?,ยังไม่มี asics id ใช่ไหม
Continue as a guest,ดำเนินการต่อในฐานะผู้มาเยือน
OR,หรือ
CREATE AN ASICS ID,สร้าง ASICS ID
or,หรือ
SIGN IN WITH FACEBOOK,ลงชื่อเข้าใช้ด้วย FACEBOOK
SIGN IN WITH GOOGLE,ลงชื่อเข้าใช้ด้วย GOOGLE
order summary,สรุปการสั่งซื้อ
Subtotal (Inclusive of GST),รวม (รวม GST)
Order Discount,ส่วนลดการสั่งซื้อ
Shipping,ค่าจัดส่ง
Total,รวมทั้งสิ้น
Password Recovery,การกู้คืนรหัสผ่าน
UserName,ชื่อผู้ใช้
DETAILS,รายละเอียด
Your Shipping Information,ข้อมูลการจัดส่งของคุณ
Tax ID,หมายเลขประจำตัวผู้เสียภาษี
"For full tax invoice, please insert your personal tax ID number in the field.",โปรดกรอกเลขประจําตัวผู้เสียภาษีอากรของท่านในช่อง “หมายเลขประจำตัวผู้เสียภาษี” สำหรับท่านที่ต้องการออกใบกำกับภาษีแบบเต็มรูปแบบ
Shipping Address,ที่อยู่ในการจัดส่ง
First Name,ชื่อ
Last Name,นามสกุล
Mobile No,หมายเลขโทรศัพท์
Email Address,ที่อยู่อีเมล
Address Type,ประเภทที่อยู่
Address type,ประเภทที่อยู่
Home,โฮมเพจ
Office,สำนักงาน
Apartment,อพาร์ทเมนท์
Business,ธุรกิจ
Address Line 1,ที่อยู่บรรทัดที่ 1
Address Line 2,ที่อยู่บรรทัดที่ 2
Postal Code,รหัสไปรษณีย์
Postal code,รหัสไปรษณีย์
Country,ประเทศ
State,รัฐ
City,เมือง
Province ,"จังหวัด"
District,"เขต/ อำเภอ"
Required Fields,โปรดกรอกข้อมูลในช่องต่อไปนี้
save and continue,บันทึกและดำเนินการต่อ
Saved addresses,ที่อยู่ที่บันทึกไว้
SAVED ADDRESSES,ที่อยู่ที่บันทึกไว้
Deliver here,ส่งที่นี่
Add New Address,สร้างที่อยู่ใหม่
AMNART CHAROEN,อำนาจเจริญ
ANG THONG,อ่างทอง
AYUDHAYA,พระนครศรีอยุธยา
Bangkok,กรุงเทพมหานคร
BUNG KARN,บึงกาฬ
BURIRUM,บุรีรัมย์
CHACHOENGSAO,ฉะเชิงเทรา
CHAINAT,ชัยนาท
CHAIYAPHUM,ชัยภูมิ
CHANTABURI,จันทบุรี
CHIANGMAI,เชียงใหม่
CHIANGRAI,เชียงราย
CHONBURI,ชลบุรี
CHUMPHORN,ชุมพร
KALASIN,กาฬสินธุ์
KARNCHANABURI,กาญจนบุรี
KHON KAEN,ขอนแก่น
KRABI,กระบี่
KUMPHENGPHET,กำแพงเพชร
LAMPANG,ลำปาง
LAMPHUN,ลำพูน
LOEI,เลย
LOP BURI,ลพบุรี
MAE HONGSORN,แม่ฮ่องสอน
MAHASARAKAM,มหาสารคาม
MUKDAHAN,มุกดาหาร
NA,NA
NAKHON NAYOK,นครนายก
NAKHON PATHOM,นครปฐม
NAKHON PHANOM,นครพนม
NAKHON RACHASIMA,นครราชสีมา
NAKHON SAWAN,นครสวรรค์
NAKHON SRITHAMMARAT,นครศรีธรรมราช
NAN,น่าน
NARATIWAT,นราธิวาส
NONG BUA LAM PHU,หนองบัวลำภู
NONG KAI,หนองคาย
NONTHABURI,นนทบุรี
Pathum Thani,Pathum Thani
PATTALUNG,พัทลุง
PATTANI,ปัตตานี
PAYAO,พะเยา
PETCHABOON,เพชรบูรณ์
PETCHABURI,เพชรบุรี
PHANG-NGA,พังงา
PHICHIT,พิจิตร
PHITSANULOK,พิษณุโลก
PHRAE,แพร่
PHUKET,ภูเก็ต
PRACHINBURI,ปราจีนบุรี
PRACHUAB KIRIKHUN,ประจวบคีรีขันธ์
RACHABURI,ราชบุรี
RANONG,ระนอง
RAYONG,ระยอง
Roi Et,ร้อยเอ็ด
SAKOL NAKHON,สกลนคร
SAMUT PRAKARN,สมุทรปราการ
SAMUT SAKORN,สมุทรสาคร
SAMUT SONGKRAM,สมุทรสงคราม
SARABURI,สระบุรี
SINGBURI,สิงห์บุรี
SISAKET,ศรีสะเกษ
SONG KHLA,สงขลา
SRAKAEW,สระแก้ว
STOON,สตูล
SUKHOTHAI,สุโขทัย
SUPHAN BURI,สุพรรณบุรี
SURATTHANI,สุราษฎร์ธานี
SURIN,สุรินทร์
TAK,ตาก
TRANG,ตรัง
TRAT,ตราด
UBON RACHATHANI,อุบลราชธานี
UDONTHANI,อุดรธานี
UTHAI THANI,อุทัยธานี
UTTARADIT,อุตรดิตถ์
YALA,ยะลา
YASOTHORN,ยโสธร
Enter store name or address (minimum 3 characters),กรอกชื่อร้านหรือที่อยู่ (อักขระขั้นต่ำ 3 ตัว)
Find Your Store,ค้นหาร้าน
Select your preferred store for pick up,เลือกร้านที่คุณต้องการสำหรับรับสินค้า
Enter Personal Info For Store Pickup,กรอกข้อมูลส่วนบุคคลสำหรับการไปรับที่ร้าน
First Name,ชื่อ
Last Name,นามสกุล
Mobile No.,หมายเลขมือถือ
Payments,"การชำระเงิน"
YOUR PAYMENT,การชำระเงินของคุณ
Your Payment,การชำระเงินของคุณ
Use my Delivery Address as my Billing Address,ใช้ที่อยู่จัดส่งของฉัน
Your bank may charge a small fee for internet banking payments,Your bank may charge a small fee for internet banking payments
I agree to the Conditions of Use and I understand and agree that my information will be used as described on this page and the ASICS Privacy Policy,ฉันยินยอมกับเงื่อนไขการใช้งานและฉันเข้าใจและยอมรับว่า ข้อมูลของฉันจะถูกใช้ตามที่อธิบายไว้ในหน้านี้และนโยบายความเป็นส่วนตัวของ ASICS
PLACE YOUR ORDER,ยืนยันการสั่งซื้อ
Payment Method,วิธีการชำระเงิน
You can pay using Master or Visa Credit Card,คุณสามารถชำระเงินโดยใช้บัตรเครดิต Master หรือ Visa
Billing address Use my delivery address,ที่อยู่สำหรับออกใบเสร็จรับเงิน ใช้ที่อยู่ในการส่งสินค้า
First Name,ชื่อ
Last Name,นามสกุล
Address1,ที่อยู่1
Address2,ที่อยู่2
State,รัฐ
City,เมือง
Post/Zip code,รหัสไปรษณีย์
Telephone,โทรศัพท์
Mobile,มือถือ
Email,อีเมล
Online Payment,การชำระเงินออนไลน์
Cash On Delivery,บริการเก็บเงินปลายทาง
Pay the cash to our logistic provider when you receive the delivery at your doorstep rather than paying in advance. The delivery address provided should be under serviceable network of our courier partner. Kindly provide accurate address and pin code. Only cash will be accepted by the delivery personal (Any other payment type will not be accepted),ชำระเงินสดให้กับผู้ให้บริการส่งสินค้าของเราเมื่อคุณได้รับการจัดส่งถึงสถานที่แทนการชำระเงินล่วงหน้า ที่อยู่ในการส่งสินค้าที่ระบุควรอยู่ภายใต้เครือข่ายที่ให้บริการได้ของคู่ค้าด้านการจัดส่งพัสดุของเรา โปรดให้ที่อยู่และรหัส PIN ที่ถูกต้อง โปรดชำระเป็นเงินสดเท่านั้นให้กับผู้จัดส่งสินค้า (ไม่รับการชำระเงินประเภทอื่นๆ)
Thank you for your order,ขอบคุณสำหรับการสั่งซื้อสินค้า
"If you have any additional questions or concerns, please feel free to contact us at","หากคุณมีคำถามเพิ่มเติมหรือมีข้อกังวล กรุณาติดต่อเราได้ที่"
"Order Placed:","วันที่สั่งซื้อ:"
"Order Number:","หมายเลขคำสั่งซื้อ:"
"A confirmation email will be sent to","ระบบจะจัดส่งอีเมลยืนยันไปยัง"
"You can further track this order from the <a href=""../../../sales/order/history"">My Accounts</a> section","คุณสามารถติดตามสถานะของคำสั่งซื้อนี้ได้ที่เมนู<a href=""../../../sales/order/history"">บัญชีของฉัน</a>"
"Your session has expired","เซสชันของคุณหมดอายุแล้ว"
"You saved the account information.","คุณบันทึกข้อมูลบัญชี"
"We don't have some of the products you want.","เราไม่มีสินค้าบางอย่างที่คุณต้องการ"
"We don't have as many of some products as you want.","เรามีสินค้าไม่มากเท่าที่คุณต้องการ"
"Your password reset link has expired.","ลิงก์รีเซ็ตรหัสผ่านของคุณหมดอายุแล้ว"
"This confirmation key is invalid or has expired.","รหัสยืนยันนี้ไม่ถูกต้องหรือหมดอายุแล้ว"
"There was an error confirming the account","เกิดข้อผิดพลาดในการยืนยันบัญชี"
"Please enter your email.","กรุณากรอกอีเมลของคุณ"
"We're unable to send the password reset email.","เราไม่สามารถส่งอีเมลรีเซ็ตรหัสผ่านได้"
"We can't specify a product.","เราไม่สามารถระบุผลิตภัณฑ์ได้"
"This product(s) is out of stock.","สินค้านี้ไม่มีในสต็อก"
"We can't add the item to Wish List right now.","เราไม่สามารถเพิ่มรายการลงในรายการที่ต้องการได้ในขณะนี้"
"We can't add the item to Wish List right now: %1.","เราไม่สามารถเพิ่มรายการลงในรายการที่ต้องการได้ในขณะนี้ %1"
"We can't configure the product right now.","เราไม่สามารถกำหนดค่าผลิตภัณฑ์ได้ในขณะนี้"
"The Wish List item can't load at this time. Please try again later.","ไม่สามารถโหลดรายการ Wish List ได้ในขณะนี้ โปรดลองอีกครั้งในภายหลัง"
"We can't configure the product right now.","เราไม่สามารถกำหนดค่าผลิตภัณฑ์ได้ในขณะนี้"
"You must login or register to add items to your wishlist.","คุณต้องเข้าสู่ระบบหรือลงทะเบียนเพื่อเพิ่มรายการในสิ่งที่ปรารถนาของคุณ"
"We can't delete the item from the Wish List right now.","เราไม่สามารถลบรายการออกจากรายการสิ่งที่ปรารถนาได้ในขณะนี้"
"We can't delete the item from Wish List right now because of an error: %1","เราไม่สามารถลบรายการออกจากรายการสิ่งที่ปรารถนาได้ในขณะนี้เนื่องจากมีข้อผิดพลาด"
"Incorrect CAPTCHA","แจ้งลบความคิดเห็นที่ไม่ถูกต้อง"
"Please enter a valid email address.","กรุณาใส่อีเมล์ที่ถูกต้อง"
"Message length must not exceed %1 symbols","ความยาวของข้อความต้องไม่เกิน %1 สัญลักษณ์"
"This wish list can be shared %1 more times.","รายการความปรารถนานี้สามารถแชร์ได้อีก %1 ครั้ง"
"We can't delete item from Wish List right now.","เราไม่สามารถลบรายการออกจากรายการสิ่งที่ปรารถนาได้ในขณะนี้"
"Can't update wish list","ไม่สามารถอัปเดตรายการที่ต้องการ"
Product,ผลิตภัณฑ์
Order Summary,สรุปการสั่งซื้อ
Subtotal,รวม
Order Discount,ส่วนลดการสั่งซื้อ
Shipping,ค่าจัดส่ง
TOTAL,รวมทั้งสิ้น
Shipping Address,ที่อยู่ในการจัดส่ง
Billing Address,ที่อยู่สำหรับออกใบเสร็จรับเงิน
Category,หมวดหมู่
Size,ขนาด
Narrow,หน้าเท้าแคบ
Installment available,สามารถผ่อนชำระได้
"Installment: up to 10months, as low as $699.00 per month",การผ่อนชำระ: สูงสุด 10 เดือน ขั้นต่ำ 699.00 เหรียญสหรัฐฯ ต่อเดือน
"Buy One nimbus 19, get one half-off",ซื้อ nimbus 19 หนึ่งคู่ คู่ต่อไปลดครึ่งราคา
read more,อ่านต่อ
View Details,ดูรายละเอียด
Sub Total (Inclusive of VAT),ยอดรวม (รวม VAT)
Order Discount,ส่วนลดการสั่งซื้อ
Shipping,ค่าจัดส่ง
size,ขนาด
Checkout Page,หน้าชำระเงิน
Details,รายละเอียด
Payment,การชำระเงิน
VISA/MasterCard,VISA/MasterCard
Online Banking,อินเตอร์เน็ตแบงก์กิ้ง
Installment Plans,แผนการผ่อนชำระ
"Note: You will be re-directed to a payment gateway page to complete your purchase.""","หมายเหตุ: คุณจะไปยังหน้าระบบชำระเงินเพื่อสั่งซื้อสินค้าของคุณให้เสร็จสมบูรณ์"""
Create your ASICS ID,สร้าง ASICS ID ของคุณ
Already Registered? Sign in,ลงทะเบียนแล้วใช่ไหม ลงชื่อเข้าใช้
Date of Birth,วันเกิด
Gender,เพศ
Male,ชาย
Female,หญิง
ASICS requires this information so that we may provide our services to you and communicate with you. We will handle your personal data in accordance with our privacy policy.,ASICS ต้องการข้อมูลนี้เพื่อให้เราสามารถส่งมอบบริการให้กับคุณ และเพื่อสื่อสารกับคุณ เราจะจัดการกับข้อมูลส่วนบุคคลของคุณอย่างสอดคล้องกับนโยบายความเป็นส่วนตัวของเรา
ONITSUKA TIGER IS A REGISTERED TRADEMARK OF ASICS CORPORATION,ONITSUKA TIGER เป็นเครื่องหมายการค้าแบบจดทะเบียนของ ASICS CORPORATION
By registering I accept the terms and conditions of ASICS,การลงทะเบียนหมายความว่าฉันยอมรับในข้อกำหนดและเงื่อนไขของ ASICS
I would like to receive news and promotions from ASICS by email tailored to my preferences and interests,ฉันประสงค์ที่จะรับข่าวสารและโปรโมชั่นจาก ASICS ผ่านทางอีเมลที่กำหนดตามความพึงพอใจและความสนใจของฉัน
Register,ลงทะเบียน
continue,ดำเนินการต่อ
Shipping address,ที่อยู่ในการจัดส่ง
Installment plans are available for your order,คุณสามารถผ่อนชำระสินค้าที่คุณสั่งซื้อได้
Standard,หน้าเท้าปกติ
wide,หน้าเท้ากว้าง
extra wide,หน้าเท้ากว้างมาก
women running shoes,รองเท้าวิ่งสำหรับผู้หญิง
Personal Information,ข้อมูลส่วนตัว
My Orders,รายการสั่งซื้อของฉัน
My Saved Cart,รถเข็นที่บันทึกไว้ของฉัน
